"cell_line","AUC","F1","Sensitivity","Specificity","Accuracy"
E003,0.899959677160759,0.827691784317061,0.823071718538566,0.834123222748815,0.828595600676819
E004,0.875542428651135,0.813249957748859,0.813937753721245,0.812119160460393,0.813028764805415
E005,0.876912082225718,0.812531581606872,0.81596752368065,0.807445008460237,0.811706986973439
E006,0.875790156359831,0.804325078479247,0.780108254397835,0.840270727580372,0.810184401962443
E007,0.877615690018752,0.808386320673655,0.795669824086603,0.827072758037225,0.811368634748774
E011,0.908987656525831,0.83905103259942,0.831529093369418,0.849407783417936,0.840466926070039
E012,0.932827665318066,0.867320598864223,0.852503382949932,0.88663282571912,0.869565217391304
E013,0.931744548928561,0.855297608657706,0.828822733423545,0.890693739424704,0.859753002875994
E016,0.916124421578527,0.834971546818417,0.819012178619756,0.857191201353638,0.838098460497378
E024,0.892537017829463,0.817745803357314,0.807510148849797,0.83248730964467,0.819996616477753
E027,0.92384893840627,0.844821614132317,0.82510148849797,0.871742808798646,0.848418203349687
E028,0.910912732484791,0.846896551724138,0.83085250338295,0.868697123519458,0.849771612248351
E037,0.915189674160674,0.847322970639033,0.829837618403248,0.871065989847716,0.850448316697682
E038,0.924704292396777,0.859269282814614,0.859269282814614,0.85922165820643,0.859245474538995
E047,0.922640692938049,0.860248447204969,0.843369418132612,0.882571912013536,0.86296734901032
E050,0.935047933710209,0.872121003781368,0.858254397834912,0.890016920473773,0.874132972424294
E053,0.92043639481716,0.852545041105475,0.824424898511502,0.890355329949239,0.857384537303333
E054,0.927577510194643,0.859027777777778,0.836941813261164,0.888324873096447,0.862628996785654
E055,0.936718057740258,0.86854378994645,0.850473612990528,0.892047377326565,0.871256978514634
E056,0.912419719335362,0.8363446838082,0.814276048714479,0.867005076142132,0.840636102182372
E057,0.924181108600134,0.856898615147888,0.847767253044655,0.869035532994924,0.85839959397733
E058,0.944935077126679,0.881099656357388,0.867388362652233,0.898477157360406,0.882930130265607
E059,0.887035803172989,0.811468288444831,0.789918809201624,0.842978003384095,0.816443918118762
E061,0.938295393921909,0.874071514942132,0.855886332882273,0.89746192893401,0.876670614109288
E062,0.912345821055114,0.84100989423405,0.833897158322057,0.850761421319797,0.842327863305701
E065,0.831338938383373,0.766008999653859,0.748646820027064,0.793908629441624,0.771273896125867
E066,0.897966795573659,0.821041774110366,0.807848443843031,0.839932318104907,0.823887667061411
E070,0.904593656768533,0.832550860719875,0.809878213802436,0.86429780033841,0.83708340382338
E071,0.848961531680668,0.76952380952381,0.751691474966171,0.797969543147208,0.774826594484859
E079,0.864611882339742,0.786048932847475,0.766238159675237,0.8165820642978,0.791405853493487
E082,0.888104265836899,0.810904670949818,0.789918809201624,0.841624365482234,0.81576721366943
E084,0.890779085928073,0.812996889042516,0.795669824086603,0.83824027072758,0.81695144645576
E085,0.895067075139268,0.820030763971971,0.811569688768606,0.832148900169205,0.821857553713416
E087,0.885202484722346,0.81113593400928,0.798376184032476,0.829780033840948,0.8140754525461
E094,0.837482054910257,0.762133424798491,0.751691474966171,0.779018612521151,0.765352732194214
E095,0.901252504573968,0.827181786823042,0.811231393775372,0.849695328368314,0.830456852791878
E096,0.869367245259863,0.793537414965987,0.789242219215156,0.8,0.794620199627813
E097,0.907070766046402,0.835255637803408,0.820703653585927,0.855499153976311,0.838098460497378
E098,0.845050818662435,0.759862778730703,0.749323410013532,0.776988155668359,0.763153442733886
E100,0.920668221335367,0.845122985581001,0.842692828146143,0.84839255499154,0.845542209440027
E104,0.888326991017724,0.810030917210581,0.797699594046008,0.828087986463621,0.81289121975977
E105,0.894571138113653,0.819683413626979,0.805818673883626,0.839593908629442,0.82270343427508
E106,0.850382084446673,0.776641829838849,0.758119079837618,0.80575296108291,0.781931991202842
E109,0.866775081339625,0.79612992398065,0.779431664411367,0.821319796954315,0.800372187447132
E112,0.866798321232562,0.803565422132526,0.808186738836265,0.796615905245347,0.802402300795128
E113,0.866517439078281,0.798175983786523,0.799391069012179,0.796277495769882,0.797834545762138
E114,0.917529919931128,0.84968465311843,0.820365358592693,0.889340101522843,0.854846895618339
E116,0.934322574293244,0.877481177275839,0.867388362652233,0.890355329949239,0.878869903569616
E117,0.936434313530197,0.874785001719986,0.860284167794317,0.893401015228426,0.876839790221621
E118,0.937645707259776,0.875194737753159,0.855209742895805,0.900846023688663,0.878024023007951
E119,0.928986328531949,0.863455895045745,0.846075778078484,0.886294416243655,0.866181695144646
E120,0.926024787692702,0.859086152772933,0.833220568335589,0.893401015228426,0.863305701234986
E122,0.929019356655653,0.859751895244659,0.84404600811908,0.880541455160744,0.862290644560988
E123,0.947924895077035,0.884877384196185,0.878890392422192,0.892385786802031,0.885636948062933
E127,0.931228176824675,0.863692038495188,0.834912043301759,0.901522842639594,0.868211808492641
E128,0.92966366265292,0.867140135111727,0.846752368064953,0.893739424703892,0.870241921840636
